customer_text_clean,spotify_text_clean,intent
hey why isn’t it allowing me to add someone to my family premium?? like i ain’t pay $14.99 for nothing,"Hey there! Don't worry, we're here to help. Can you DM us your account's email address or username? We'll take a look backstage /MT",Premium / Billing / Subscription
"Hey, I need help locating an acct I'm being charged for, but cannot access. I don't have login info, but I have payment info.",Hey Brett! Can you DM us any usernames or email addresses you might've used? We'll check things backstage /NG,Account / Login
But now that I deleted it I can’t log in at all. Please email me and I can explain.,"Can you DM us your account's email address? We'll check things out. If you prefer support via email, head to /KC",Account / Login
"Hey guys, i cant listen to any Metallica songs on the desktop App, but its available on webplayer / mobile App, can you help?",Hey Fred! That's not cool. Does logging out > restarting the device > logging back in help? Keep us posted /MX,App / Device Issue
I have account spotify premium has been hacked with someone that change my mail. Can you provide it back to me?,"Hey Riana, help's here! Can you DM us your account's username or real email address? We'll take a look backstage /JP",Premium / Billing / Subscription
"Galaxy Note 8; Android 7.1.1: New update just crashes Spotify. I can open the app but that's it. Done all the usual steps (uninstalled, deleted cache e.c.t.) Please look into this!","Hey there! Could you let us know the exact app version on your device? If you're getting any error messages, a screenshot of it would be handy. We'll see what we can suggest /LP",App / Device Issue
"Hi, bit of a strange one. Track name is 'Losss'. It shows correctly on the desktop player, but when I grab the track link, it shows as 'Loss', like so:","Hey there! We can see the track shows as ""Losss"" on our end. Can you send us a screenshot of how it appears on your mobile app? We'll take a closer look /AP",App / Device Issue
Nagspotify premium ako kasi P9 promo nila. Pero chinarge ako ng 129 + 12% VAT? Ano yun?!,Hi Cha! Hope you don't mind if we reply to you in English. We've just sent you a DM. Check it out. We'll carry on helping you there /MC,Premium / Billing / Subscription
why isn't searching for multiple things in your library a feature yet smh,We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /DF,Feature Request / Product Feedback
"I keep losing albums I've downloaded to listen offline - can you fix these bugs instead of giving us a ""Stranger Things mode?""",2: at They should help with this /SY,General / Other Support
Hum ... Time to improve your software ... Now what do i need too do ?,Hey there! Could you DM us your account's username or email address? We'll take a look backstage /GU,Feature Request / Product Feedback
